FIPS,Year,State,Percent Obese (BMI >= 30)
27,2012,Minnesota,25.7
20,2011,Kansas,29.6
47,2006,Tennessee,28.8
18,2011,Indiana,30.8
37,2012,North Carolina,29.6
16,2011,Idaho,27.1
42,2006,Pennsylvania,24
41,2006,Oregon,24.8
01,2007,Alabama ,30.9
56,2006,Wyoming,23.3
55,2006,Wisconsin,26.6
46,2012,South Dakota,28.1
29,2012,Missouri,29.6
51,2006,Virginia,25.1
42,2012,Pennsylvania,29.1
49,2006,Utah,21.9
48,2006,Texas,26.1
25,1996,Massachusetts,13.1
22,2011,Louisiana,33.4
21,2011,Kentucky,30.4
32,1996,Nevada,15.5
19,2011,Iowa,29
51,2012,Virginia,27.4
30,1996,Montana,14.3
29,1996,Missouri,19.2
28,1996,Mississippi,19.8
54,2006,West Virginia,31
53,2006,Washington,24.2
44,2006,Rhode Island,21.4
50,2006,Vermont,21.2
27,1996,Minnesota,14.3
40,2006,Oklahoma,28.8
17,2011,Illinois,27.1
24,1996,Maryland,17.7
12,2011,Florida,26.6
10,2011,Delaware,28.8
46,2006,South Dakota,25.4
45,2006,South Carolina,29.4
39,2006,Ohio,28.4
48,2012,Texas,29.2
06,2011,California,23.8
26,1996,Michigan,18.2
13,2011,Georgia,28
09,2011,Connecticut,24.5
08,2011,Colorado,20.7
53,2012,Washington,26.8
50,2012,Vermont,23.7
49,2012,Utah,24.3
38,2006,North Dakota,25.4
05,2011,Arkansas,30.9
04,2011,Arizona,25.1
02,2011,Alaska,27.4
01,2011,Alabama,32
56,2010,Wyoming,25.7
37,2006,North Carolina,26.6
55,2010,Wisconsin,26.9
36,2006,New York,22.9
35,2006,New Mexico,22.9
54,2010,West Virginia,32.9
53,2010,Washington,26.2
51,2010,Virginia,26.4
34,2006,New Jersey,22.6
33,2006,New Hampshire,22.4
32,2006,Nevada,25
31,2006,Nebraska,26.9
30,2006,Montana,21.2
50,2010,Vermont,23.9
28,2006,Mississippi,31.4
27,2006,Minnesota,24.7
26,2006,Michigan,28.8
25,2006,Massachusetts,20.3
24,2006,Maryland,24.9
23,2006,Maine,23.1
22,2006,Louisiana,27.1
21,2006,Kentucky,28
20,2006,Kansas,25.9
19,2006,Iowa,25.7
18,2006,Indiana,27.8
17,2006,Illinois,25.1
16,2006,Idaho,24.1
13,2006,Georgia,27.1
12,2006,Florida,23.1
10,2006,Delaware,26
29,2006,Missouri,27.2
22,1996,Louisiana,19.7
06,2006,California,23.3
05,2006,Arkansas,26.9
04,2006,Arizona,22.9
02,2006,Alaska,26.2
01,2006,Alabama ,30.5
56,2005,Wyoming,24.2
55,2005,Wisconsin,24.4
54,2005,West Virginia,30.6
53,2005,Washington,23.3
51,2005,Virginia,25.1
50,2005,Vermont,20.2
49,2005,Utah,21.2
48,2005,Texas,27
47,2005,Tennessee,27.4
46,2005,South Dakota,25.5
45,2005,South Carolina,29.1
44,2005,Rhode Island,21
42,2005,Pennsylvania,25.3
41,2005,Oregon,23.8
48,2010,Texas,31.7
39,2005,Ohio,24.3
38,2005,North Dakota,25.4
37,2005,North Carolina,25.9
36,2005,New York,22.2
49,2010,Utah,23
34,2005,New Jersey,22.1
33,2005,New Hampshire,23.1
32,2005,Nevada,21.2
31,2005,Nebraska,26
30,2005,Montana,21.3
29,2005,Missouri,26.9
47,2010,Tennessee,31.7
46,2010,South Dakota,27.7
26,2005,Michigan,26.2
25,2005,Massachusetts,20.7
24,2005,Maryland,24.4
40,2005,Oklahoma,26.8
45,2010,South Carolina,32
21,2005,Kentucky,28.6
20,2005,Kansas,23.9
27,2005,Minnesota,23.7
35,2005,New Mexico,21.7
17,2005,Illinois,25.1
16,2005,Idaho,24.5
13,2005,Georgia,26.5
22,2005,Louisiana,30.8
10,2005,Delaware,23.5
09,2005,Connecticut,20.1
28,2005,Mississippi,30.9
18,2005,Indiana,27.2
05,2005,Arkansas,28
04,2005,Arizona,21.1
02,2005,Alaska,27.4
23,2005,Maine,22.7
56,2004,Wyoming,20.8
55,2004,Wisconsin,23.2
54,2004,West Virginia,27.6
53,2004,Washington,22.2
51,2004,Virginia,23.1
50,2004,Vermont,18.7
49,2004,Utah,20.4
48,2004,Texas,25.8
47,2004,Tennessee,27.2
46,2004,South Dakota,23.8
45,2004,South Carolina,25.1
44,2004,Rhode Island,19
42,2004,Pennsylvania,24.3
19,2005,Iowa,25.4
42,2010,Pennsylvania,29.2
21,1996,Kentucky,19.2
44,2010,Rhode Island,26
41,2010,Oregon,27.6
12,2005,Florida,22.8
40,2010,Oklahoma,31.3
23,1996,Maine,16.1
06,2005,California,22.7
01,2005,Alabama ,28.9
39,2010,Ohio,29.7
38,2010,North Dakota,27.9
20,1996,Kansas,13.4
41,2004,Oregon,21.2
08,2005,Colorado,17.8
40,2004,Oklahoma,24.9
09,2006,Connecticut,20.6
08,2006,Colorado,18.2
37,2010,North Carolina,28.6
36,2010,New York,24.5
35,2010,New Mexico,25.6
34,2010,New Jersey,24.8
39,2004,Ohio,25.3
32,2010,Nevada,23.1
31,2010,Nebraska,27.5
30,2010,Montana,23.5
29,2010,Missouri,31.4
33,2010,New Hampshire,25.5
27,2010,Minnesota,25.4
26,2010,Michigan,31.7
28,2010,Mississippi,34.5
25,2010,Massachusetts,23.6
37,2004,North Carolina,24.2
38,2004,North Dakota,24.6
22,2010,Louisiana,31.7
21,2010,Kentucky,31.8
20,2010,Kansas,30.1
23,2010,Maine,27.4
19,2010,Iowa,29.1
35,2004,New Mexico,21.5
24,2010,Maryland,27.9
18,2010,Indiana,30.2
17,2010,Illinois,28.7
36,2004,New York,22.1
16,2010,Idaho,26.9
19,1996,Iowa,18.7
18,1996,Indiana,18.6
13,2010,Georgia,30.4
01,1998,Alabama ,21.3
56,1997,Wyoming,15
55,1997,Wisconsin,16.6
12,2010,Florida,27.2
38,1998,North Dakota,19.2
37,1998,North Carolina,19.4
36,1998,New York,16.3
35,1998,New Mexico,15.2
34,1998,New Jersey,15.5
33,1998,New Hampshire,15.6
10,2010,Delaware,28.7
31,1998,Nebraska,18.3
30,1998,Montana,15
54,1997,West Virginia,20.6
53,1997,Washington,15.2
09,2010,Connecticut,23
32,1998,Nevada,14
08,2010,Colorado,21.4
06,2010,California,24.7
51,1997,Virginia,16.4
50,1997,Vermont,15.9
49,1997,Utah,15.2
48,1997,Texas,18.7
47,1997,Tennessee,17.7
46,1995,South Dakota,13.9
17,1996,Illinois,17
29,1998,Missouri,20.5
45,1995,South Carolina,16.7
46,1997,South Dakota,17
45,1997,South Carolina,16.9
44,1997,Rhode Island,13.8
42,1997,Pennsylvania,17.5
41,1997,Oregon,19.4
40,1997,Oklahoma,15.1
05,2010,Arkansas,30.9
39,1997,Ohio,17.7
44,1995,Rhode Island,13.2
37,1997,North Carolina,18.3
42,1995,Pennsylvania,16.4
04,2010,Arizona,24.7
02,2010,Alaska,25.2
41,1995,Oregon,15.2
38,1997,North Dakota,17
25,1997,Massachusetts,14.8
24,1997,Maryland,17.5
01,2010,Alabama ,33
36,1997,New York,16
28,1998,Mississippi,22.8
27,1998,Minnesota,16.2
16,1996,Idaho,16.9
35,1997,New Mexico,14.9
34,1997,New Jersey,16
13,1996,Georgia,11.5
12,1996,Florida,16.7
10,1996,Delaware,17.7
23,1997,Maine,16.2
22,1997,Louisiana,19.6
56,2009,Wyoming,25.4
21,1997,Kentucky,21.8
20,1997,Kansas,14.7
19,1997,Iowa,19.4
18,1997,Indiana,21.2
55,2009,Wisconsin,29.2
09,1996,Connecticut,13.4
08,1996,Colorado,10.3
40,1995,Oklahoma,13.5
39,1995,Ohio,17.5
54,2009,West Virginia,31.7
06,1996,California,14.6
33,1997,New Hampshire,14.2
38,1995,North Dakota,16.4
05,1996,Arkansas,17.8
53,2009,Washington,26.9
04,1996,Arizona,15.1
51,2009,Virginia,25.5
50,2009,Vermont,23.4
32,1997,Nevada,14.1
49,2009,Utah,24
30,1997,Montana,14.6
48,2009,Texas,29.5
02,1996,Alaska,17.5
01,1996,Alabama ,20.5
17,1997,Illinois,17.1
16,1997,Idaho,16.3
29,1997,Missouri,19.1
47,2009,Tennessee,32.9
31,1997,Nebraska,17
28,1997,Mississippi,22
27,1997,Minnesota,16.5
13,1997,Georgia,14.4
12,1997,Florida,16.1
46,2009,South Dakota,30.3
56,1995,Wyoming,14.3
55,1995,Wisconsin,16
45,2009,South Carolina,30.1
54,1995,West Virginia,18.3
10,1997,Delaware,18.8
53,1995,Washington,13.9
09,1997,Connecticut,14.7
08,1997,Colorado,11.8
26,1998,Michigan,21.2
06,1997,California,16
25,1998,Massachusetts,14.3
44,2009,Rhode Island,24.9
24,1998,Maryland,20.5
42,2009,Pennsylvania,28.1
05,1997,Arkansas,18.1
04,1997,Arizona,12.4
23,1998,Maine,17.4
22,1998,Louisiana,21.8
21,1998,Kentucky,20.4
20,1998,Kansas,17.7
19,1998,Iowa,19.8
18,1998,Indiana,19.9
17,1998,Illinois,18.5
16,1998,Idaho,16.4
51,1995,Virginia,15.7
13,1998,Georgia,19.2
12,1998,Florida,18
10,1998,Delaware,17.2
09,1998,Connecticut,15.5
08,1998,Colorado,14.4
06,1998,California,17.3
05,1998,Arkansas,19.8
26,1997,Michigan,19.3
04,1998,Arizona,13.1
02,1997,Alaska,19.7
02,1998,Alaska,21.4
41,2009,Oregon,23.6
01,1997,Alabama ,18.2
48,1995,Texas,15.9
37,1995,North Carolina,16.9
40,2009,Oklahoma,32
50,1995,Vermont,14.6
36,1995,New York,13.9
56,2012,Wyoming,24.6
47,1995,Tennessee,18.4
08,2004,Colorado,16.8
06,2004,California,22.2
05,2004,Arkansas,26.1
04,2004,Arizona,21.2
02,2004,Alaska,23.7
01,2004,Alabama ,28.8
56,2003,Wyoming,20.1
12,2009,Florida,26.5
55,2003,Wisconsin,20.9
54,2003,West Virginia,27.7
53,2003,Washington,21.7
51,2003,Virginia,21.7
50,2003,Vermont,19.6
49,2003,Utah,20.8
48,2003,Texas,24.6
47,2003,Tennessee,25
46,2003,South Dakota,22.9
45,2003,South Carolina,24.5
44,2003,Rhode Island,18.4
42,2003,Pennsylvania,23.8
39,2009,Ohio,29.8
09,2009,Connecticut,21
10,2009,Delaware,27.6
41,2003,Oregon,21.5
40,2003,Oklahoma,24.4
39,2003,Ohio,24.9
38,2003,North Dakota,23.7
37,2003,North Carolina,24
08,2009,Colorado,19
36,2003,New York,20.9
35,2003,New Mexico,20.2
34,2003,New Jersey,20.1
33,2003,New Hampshire,20.2
32,2003,Nevada,21.2
31,2003,Nebraska,23.9
33,2009,New Hampshire,26.3
30,2003,Montana,18.8
37,2009,North Carolina,30.1
36,2009,New York,24.6
32,2009,Nevada,26.4
31,2009,Nebraska,28.1
30,2009,Montana,23.7
29,2009,Missouri,30.6
28,2009,Mississippi,35.4
27,2009,Minnesota,25.4
06,2009,California,25.5
26,2009,Michigan,30.3
34,2009,New Jersey,23.9
38,2009,North Dakota,28.4
35,2009,New Mexico,25.6
29,2003,Missouri,23.6
28,2003,Mississippi,28.1
05,2009,Arkansas,31.5
04,2009,Arizona,25.9
27,2003,Minnesota,23
02,2009,Alaska,25.4
26,2003,Michigan,25.2
25,2003,Massachusetts,16.8
24,2003,Maryland,21.9
23,2003,Maine,19.9
22,2003,Louisiana,24.8
21,2003,Kentucky,25.6
20,2003,Kansas,22.6
19,2003,Iowa,23.9
18,2003,Indiana,26
17,2003,Illinois,23.7
16,2003,Idaho,21.8
01,2009,Alabama ,31.6
56,2008,Wyoming,25.2
55,2008,Wisconsin,26.1
54,2008,West Virginia,31.9
13,2003,Georgia,25.2
25,2009,Massachusetts,21.8
24,2009,Maryland,26.8
53,2008,Washington,26
12,2003,Florida,19.9
51,2008,Virginia,25.8
50,2008,Vermont,23.3
23,2009,Maine,26.4
22,2009,Louisiana,33.9
49,2008,Utah,23.1
48,2008,Texas,28.9
47,2008,Tennessee,31.2
46,2008,South Dakota,28.1
45,2008,South Carolina,30.7
44,2008,Rhode Island,22.1
42,2008,Pennsylvania,28.4
10,2003,Delaware,24
41,2008,Oregon,25
09,2003,Connecticut,19.1
08,2003,Colorado,16
40,2008,Oklahoma,31
06,2003,California,23.2
39,2008,Ohio,29.3
38,2008,North Dakota,27.8
37,2008,North Carolina,29.5
21,2009,Kentucky,32.4
20,2009,Kansas,28.8
05,2003,Arkansas,25.2
36,2008,New York,25.1
35,2008,New Mexico,25.7
34,2008,New Jersey,23.6
33,2008,New Hampshire,24.9
32,2008,Nevada,25.6
31,2008,Nebraska,27.2
19,2009,Iowa,28.5
30,2008,Montana,24.3
18,2009,Indiana,30
04,2003,Arizona,20.1
17,2009,Illinois,27.4
16,2009,Idaho,25.1
29,2008,Missouri,29.1
28,2008,Mississippi,33.4
27,2008,Minnesota,25.2
26,2008,Michigan,29.5
25,2008,Massachusetts,21.5
24,2008,Maryland,26.7
23,2008,Maine,25.9
02,2003,Alaska,23.5
22,2008,Louisiana,29
21,2008,Kentucky,30.3
20,2008,Kansas,28.1
19,2008,Iowa,26.7
18,2008,Indiana,27
17,2008,Illinois,26.9
16,2008,Idaho,25.2
13,2008,Georgia,27.8
12,2008,Florida,25.2
10,2008,Delaware,27.8
09,2008,Connecticut,21.4
08,2008,Colorado,19.1
01,2003,Alabama ,28.4
06,2008,California,24.3
05,2008,Arkansas,29.5
04,2008,Arizona,25.6
02,2008,Alaska,27.1
01,2008,Alabama ,32.2
56,2007,Wyoming,24.5
56,2002,Wyoming,19.5
13,2009,Georgia,27.7
56,1996,Wyoming,15.1
55,1996,Wisconsin,17.1
54,1996,West Virginia,19.9
55,2002,Wisconsin,21.6
54,2002,West Virginia,27.6
53,2002,Washington,21.3
51,2002,Virginia,23.8
50,2002,Vermont,18.9
49,2002,Utah,17.5
48,2002,Texas,25.5
47,2002,Tennessee,24.5
46,2002,South Dakota,21.2
45,2002,South Carolina,25.8
44,2002,Rhode Island,18.5
42,2002,Pennsylvania,23.9
41,2002,Oregon,20.3
35,1995,New Mexico,13
40,2002,Oklahoma,22.9
39,2002,Ohio,23
38,2002,North Dakota,23.4
37,2002,North Carolina,23.5
36,2002,New York,20.6
35,2002,New Mexico,19.7
09,2000,Connecticut,17.4
34,2002,New Jersey,19
06,2000,California,19.9
05,2000,Arkansas,23.3
33,2002,New Hampshire,17.9
02,2000,Alaska,21
31,2002,Nebraska,23.2
08,2000,Colorado,14.2
34,2004,New Jersey,21.9
28,2002,Mississippi,26.8
33,2004,New Hampshire,21.6
32,2002,Nevada,21.6
25,2002,Massachusetts,18.3
24,2002,Maryland,19.4
53,1996,Washington,15.6
51,1996,Virginia,15.9
50,1996,Vermont,14.9
33,1995,New Hampshire,15.1
26,2002,Michigan,25.4
32,1995,Nevada,13.3
20,2002,Kansas,22.8
19,2002,Iowa,22.9
18,2002,Indiana,24.1
17,2002,Illinois,21.9
16,2002,Idaho,20.2
13,2002,Georgia,23.5
12,2002,Florida,19.4
10,2002,Delaware,22.4
09,2002,Connecticut,18
08,2002,Colorado,16.5
06,2002,California,19.2
05,2002,Arkansas,23.7
04,2002,Arizona,19.6
02,2002,Alaska,23.4
29,2002,Missouri,23.2
01,2002,Alabama ,25.7
27,2002,Minnesota,22.4
04,2000,Arizona,19.2
31,1995,Nebraska,16.3
23,2002,Maine,20.7
56,2001,Wyoming,19.7
55,2001,Wisconsin,22.4
54,2001,West Virginia,25.1
53,2001,Washington,19.3
08,1999,Colorado,14.9
06,1999,California,18.7
51,2001,Virginia,20.9
50,2001,Vermont,17.6
49,2001,Utah,19.1
48,2001,Texas,24.6
47,2001,Tennessee,23.4
46,2001,South Dakota,21.2
45,2001,South Carolina,22.5
44,2001,Rhode Island,17.7
42,2001,Pennsylvania,22.1
41,2001,Oregon,21.1
40,2001,Oklahoma,22.6
39,2001,Ohio,22.4
38,2001,North Dakota,20.4
37,2001,North Carolina,22.9
36,2001,New York,20.3
35,2001,New Mexico,19.7
34,2001,New Jersey,19.6
30,1995,Montana,13.4
29,1995,Missouri,18.9
30,2002,Montana,18.7
33,2001,New Hampshire,19.4
32,2001,Nevada,19.5
26,1995,Michigan,18.2
25,1995,Massachusetts,11.7
34,1995,New Jersey,14.5
31,2001,Nebraska,20.7
30,2001,Montana,18.8
29,2001,Missouri,23.2
28,2001,Mississippi,26.5
28,1995,Mississippi,19.5
27,2001,Minnesota,19.9
22,1995,Louisiana,17.7
26,2001,Michigan,25
25,2001,Massachusetts,16.6
24,2001,Maryland,20.5
23,2001,Maine,19.5
22,2001,Louisiana,24
23,1995,Maine,14.1
21,2001,Kentucky,24.6
19,1995,Iowa,17.5
20,2001,Kansas,21.6
24,1995,Maryland,16.3
19,2001,Iowa,22.5
21,2002,Kentucky,24.4
18,2001,Indiana,24.5
17,2001,Illinois,21
17,1995,Illinois,16.7
18,1995,Indiana,20.1
13,1995,Georgia,13.3
13,2001,Georgia,22.7
20,1995,Kansas,15.9
16,1995,Idaho,14.2
10,1995,Delaware,17.1
09,1995,Connecticut,12.5
08,2001,Colorado,14.9
06,2001,California,21.9
05,2001,Arkansas,22.4
04,2001,Arizona,18.5
02,2001,Alaska,22.1
12,1995,Florida,17.2
08,1995,Colorado,10.1
06,1995,California,15.1
05,1995,Arkansas,17.5
21,1995,Kentucky,16.9
55,2000,Wisconsin,20
01,2000,Alabama ,23.9
01,2001,Alabama ,24.5
56,2000,Wyoming,18
54,1999,West Virginia,24.6
50,2000,Vermont,18.2
49,2000,Utah,19.1
51,1999,Virginia,19.3
50,1999,Vermont,18
47,2000,Tennessee,22.9
48,1999,Texas,21.6
46,2000,South Dakota,19.8
46,1999,South Dakota,19.6
45,1999,South Carolina,20.6
44,1999,Rhode Island,16.8
42,1999,Pennsylvania,20.3
41,1999,Oregon,19.9
45,2000,South Carolina,22
39,1999,Ohio,20.3
44,2000,Rhode Island,17.1
37,1999,North Carolina,21.5
36,1999,New York,17.4
41,2000,Oregon,21.5
53,1999,Washington,18.2
47,1996,Tennessee,17.4
04,1995,Arizona,13.3
02,1995,Alaska,19.8
01,1995,Alabama ,18.7
29,1999,Missouri,21.7
18,2004,Indiana,25.5
27,1999,Minnesota,15.5
26,1999,Michigan,22.8
25,1999,Massachusetts,14.7
24,1999,Maryland,18.2
40,1999,Oklahoma,21.1
10,2001,Delaware,20.8
49,1999,Utah,16.7
42,2000,Pennsylvania,21.2
40,2000,Oklahoma,19.7
54,2000,West Virginia,23.2
23,1999,Maine,19.4
12,2004,Florida,22.9
21,1999,Kentucky,21.7
20,1999,Kansas,18.9
48,1996,Texas,17.2
10,2004,Delaware,21.1
17,1999,Illinois,20.9
39,2000,Ohio,21.5
13,1999,Georgia,21.1
47,1999,Tennessee,20.5
10,1999,Delaware,17.5
33,1999,New Hampshire,14.6
19,1999,Iowa,21.5
31,1999,Nebraska,21
51,2000,Virginia,18.2
19,2004,Iowa,23.5
28,1999,Mississippi,23.2
17,2004,Illinois,23
16,2004,Idaho,20.8
13,2004,Georgia,24.7
35,1999,New Mexico,17.7
12,2001,Florida,18.8
18,1999,Indiana,19.9
09,2004,Connecticut,19.7
45,1996,South Carolina,18.4
44,1996,Rhode Island,14.3
12,1999,Florida,18.6
16,2001,Idaho,20.5
38,1999,North Dakota,21.9
48,2000,Texas,23.1
46,1996,South Dakota,14.7
38,2000,North Dakota,20.4
37,2000,North Carolina,21.8
36,2000,New York,17.7
32,1999,Nevada,15.8
35,2000,New Mexico,19.3
30,1999,Montana,15.8
09,2001,Connecticut,17.9
22,1999,Louisiana,22.3
42,1996,Pennsylvania,18.7
41,1996,Oregon,16.4
16,1999,Idaho,20
34,1999,New Jersey,17
09,1999,Connecticut,15.1
56,1999,Wyoming,16.9
55,1999,Wisconsin,19.9
27,1995,Minnesota,15.3
34,2000,New Jersey,18.5
33,2000,New Hampshire,18.1
32,2000,Nevada,17.9
31,2000,Nebraska,21.1
30,2000,Montana,15.9
29,2000,Missouri,22.1
28,2000,Mississippi,25
27,2000,Minnesota,17.4
26,2000,Michigan,22.4
25,2000,Massachusetts,16.8
22,2002,Louisiana,25.5
53,2000,Washington,18.8
24,2000,Maryland,20.2
23,2000,Maine,20
22,2000,Louisiana,23.6
21,2000,Kentucky,23
32,2004,Nevada,21.1
40,1996,Oklahoma,16.8
39,1996,Ohio,18.9
38,1996,North Dakota,18.4
20,2000,Kansas,20.8
19,2000,Iowa,21.5
18,2000,Indiana,21.8
17,2000,Illinois,21.7
16,2000,Idaho,18.9
13,2000,Georgia,21.5
31,2004,Nebraska,23.2
12,2000,Florida,18.7
10,2000,Delaware,16.6
30,2004,Montana,19.7
36,1996,New York,14.5
29,2004,Missouri,24.9
28,2004,Mississippi,29.5
34,1996,New Jersey,13.5
27,2004,Minnesota,22.6
26,2004,Michigan,25.4
35,1996,New Mexico,14.1
37,1996,North Carolina,18.1
25,2004,Massachusetts,18.4
24,2004,Maryland,23.9
23,2004,Maine,23.4
22,2004,Louisiana,26.9
21,2004,Kentucky,25.8
20,2004,Kansas,23.2
05,1999,Arkansas,22.7
04,1999,Arizona,12.3
02,1999,Alaska,20.4
01,1999,Alabama ,22.4
56,1998,Wyoming,15.1
55,1998,Wisconsin,18.3
54,1998,West Virginia,23.9
53,1998,Washington,18.1
51,1998,Virginia,18.7
50,1998,Vermont,14.8
49,1998,Utah,15.9
48,1998,Texas,20.2
47,1998,Tennessee,19.2
46,1998,South Dakota,15.8
45,1998,South Carolina,20.6
44,1998,Rhode Island,16.8
42,1998,Pennsylvania,19.4
41,1998,Oregon,18.3
40,1998,Oklahoma,19.5
39,1998,Ohio,20
